t,point 1,point 4
0,0,0
1,0.475,0
2,0.273125,0
3,0.35892187499999995,0
4,0.27155156249999995,0.05090664062499999
5,0.30104794921874994,0.03690731445312499
6,0.25329095288085934,0.07807806005859375
7,0.2649096849304199,0.06925848457031249
8,0.2353514230603027,0.09762710490188596
9,0.23959941792551415,0.09388470769055554
10,0.22035927735178093,0.1129099692613893
11,0.22118592935679127,0.11217464083261124
12,0.20834200683270082,0.12497975083680293
13,0.20759448314427276,0.12574376984618796
14,0.19886686759804809,0.1344643748810059
15,0.197486272999251,0.13584794894715085
16,0.19146410955202217,0.14186884612075684
17,0.18993018248241514,0.14340331135665357
18,0.18571587900371564,0.14761738611467992
19,0.18425988516451036,0.1490734771601713
20,0.18127231647724368,0.15206100453476634
21,0.1799916518310347,0.15334168673886078
22,0.17784885305410986,0.15548447805368432
23,0.17677092099413227,0.15656241328505494
24,0.17521807954658242,0.15811525338476273
25,0.17433586425333447,0.1589974692508435
26,0.17320044557692515,0.1601328876837989
27,0.1724919596416547,0.1608413737225372
28,0.1716554131331534,0.16167792018706467
29,0.1710939732563604,0.1622393600825466
30,0.17047368322693207,0.16285965010403208
31,0.17003303320286028,0.16330030013147961
32,0.16957066011364946,0.1637626732192557
33,0.1692272594439833,0.1641060738895316
34,0.16888110652530386,0.1644522268079519
35,0.16861491040669224,0.16471842292667366
36,0.16835485392035507,0.164978479412964
37,0.1681493322642078,0.16518400106913117
38,0.16795340450563,0.16537992882770047
39,0.1677952130629034,0.1655381202704307
40,0.1676472651364418,0.16568606819689077
41,0.16752578998960604,0.16580754334372713
42,0.16741387009201525,0.16591946324131768
43,0.16732075830010873,0.16601257503322434
44,0.1672359711399803,0.1660973621933527
45,0.16716470015930046,0.16616863317403252
46,0.1671003947201209,0.16623293861321212
47,0.16704590080860696,0.16628743252472603
48,0.16699708543690883,0.16633624789642415
49,0.1669554545681618,0.16637787876517116
50,0.1669183716149982,0.16641496171833475
51,0.16688658850257054,0.16644674483076238
52,0.16685840237478808,0.16647493095854488
53,0.16683415002556645,0.16649918330776647
54,0.16681271677072096,0.16652061656261197
55,0.16679421826723007,0.16653911506610283
56,0.16677791436564454,0.16655541896768833
57,0.16676380904719434,0.16656952428613853
58,0.16675140357171758,0.16658192976161526
59,0.16674065075004002,0.16659268258329282
60,0.16673120952534765,0.16660212380798517
