t,point 0,point 1,point 2,point 3,point 4,point 5
0,1,0,0,0,0,0
1,0.575,0.425,0,0,0,0
2,0.51125,0.308125,0.18062499999999998,0,0,0
3,0.4249218749999999,0.34026562499999996,0.15804687499999998,0.07676562499999999,0,0
4,0.3889429687499999,0.29880156249999995,0.2009453125,0.07868476562499999,0.03262539062499999,0
5,0.3506328710937499,0.29552275390624994,0.19057348632812496,0.11107026367187497,0.03833483398437499,0.013865791015624997
6,0.3272110712890624,0.2743411149902343,0.20138805541992183,0.11394657568359372,0.058848048339843737,0.024265134277343742
7,0.3047413398620604,0.26580579609985344,0.19523047684936518,0.12769233045043943,0.06756718398437499,0.03896287275390624
8,0.2881937337631224,0.25235889151733387,0.19652127531127922,0.1308428554219055,0.08096353895950316,0.05111970502685545
9,0.27296392580866224,0.2438577125842208,0.1923389337458686,0.13755747437836832,0.08947861903464888,0.06380333444823072
10,0.2605937851882746,0.2343323721983087,0.19095229452098067,0.1404060810884752,0.09900013660650192,0.07471533039745842
11,0.2494326846675391,0.22705693970617977,0.18790668682503026,0.14429069539245137,0.10627662037249706,0.0850363730363019
12,0.23992299305896136,0.2199277738402689,0.18600874794067276,0.14667150986781682,0.1134054971380947,0.09406347815418484
13,0.23142502489101707,0.21401015600088485,0.18370600776703735,0.1492517806386487,0.1193231944800649,0.10228383622234652
14,0.22402370561271087,0.20853221227980587,0.18194222423685735,0.15117517805081576,0.1248011163379327,0.10952556348187682
15,0.21743982094622624,0.20381535202803736,0.1801669745260428,0.15304219645190814,0.12951798260208425,0.11601767344570056
16,0.21164942165599593,0.19955519087991996,0.17868950428288324,0.1545724362472402,0.13377814209679634,0.12175530483716362
17,0.2065093735761636,0.19582732215601165,0.17730766717147556,0.15598461514844986,0.13750601127539108,0.12686501067250752
18,0.201969501722599,0.1924963406411484,0.17611622343011746,0.15719350561218579,0.14083699266521554,0.13138743592873303
19,0.19794340826298248,0.18956088428607676,0.17503561817218466,0.1582841426823444,0.14377244905467282,0.13540349754173808
20,0.19438083557279753,0.18695021887785757,0.1740894791874067,0.1592360499737661,0.14638311445343596,0.13896030193473535
21,0.191222823477448,0.18464241660476544,0.17324258614005106,0.16008625979342303,0.14869091672912849,0.1421149972551831
22,0.1884261505565579,0.18259416157815192,0.17249607539023776,0.16083467768841475,0.15073917175502688,0.14490976303160985
23,0.18594755524073536,0.18078107026411094,0.1718316679968265,0.1615001816899997,0.1525522630692645,0.14738726173906208
24,0.18375179912566997,0.17917333041558042,0.17124428228002098,0.16208819795658863,0.15416000291774093,0.1495823873043981
25,0.18180594992388188,0.1777493341597557,0.17072279190017497,0.1626100509025371,0.1555839991735805,0.15152787394006878
26,0.18008188822412824,0.17648711539918752,0.17026115743650067,0.16307189384172663,0.15684621793414458,0.15325172716431124
27,0.17855410977352842,0.17536886171564542,0.1698517525428636,0.16348141860878324,0.15796447161768778,0.15477938574149042
28,0.17720037934892813,0.1743778207418134,0.1694891320193117,0.16384410805955182,0.15895551259151947,0.15613304723887428
29,0.17600079194090434,0.17349971544277393,0.16916768954347697,0.16416559016853602,0.159833617890559,0.15733259501374847
30,0.1749378344291989,0.17272156194727814,0.16888290831632824,0.16445039418474566,0.16061177138605476,0.15839552973639293
31,0.17399591862438257,0.17203204995894075,0.16863051760355935,0.16470279800122462,0.16130128337439212,0.1593374324374992
32,0.17316127444156978,0.1714210428907164,0.16840688802360418,0.16492643511581306,0.16191229044261643,0.1601720690856787
33,0.1724216760324571,0.1708796254813064,0.16820871135631565,0.1651246161155157,0.16245370785202645,0.1609116631623772
34,0.17176630454821804,0.17039985846242436,0.16803310938209676,0.16530022058087274,0.16293347487090845,0.16156703215547813
35,0.17118556496175572,0.16997472968974744,0.16787750000071577,0.16545583139465814,0.1633586036435854,0.162147770309536
36,0.1706709599711522,0.16959801206251252,0.16773961346097974,0.1655937187580267,0.1637353212708203,0.162662374476507
37,0.17021495710998033,0.16926419551803296,0.16761742761787612,0.165715905074719,0.16406913781529986,0.16311837686409014
38,0.16981088343340267,0.16896839283704393,0.167509156894601,0.16582417607030764,0.16436494049628886,0.16352245026835427
39,0.1694528249299502,0.16870627606495814,0.16741321531981457,0.16592011780167434,0.16462705726837462,0.16388050861522646
40,0.16913554166232855,0.16847400851589375,0.16732819969129098,0.16600513352023155,0.16485932481743903,0.1641977917928144
41,0.16885439007509373,0.16826819135267235,0.16725286531904687,0.16608046794424497,0.16506514198066038,0.16447894332827986
42,0.16860525561806464,0.16808581224541058,0.16718610999904687,0.16614722329401233,0.16524752108792212,0.16472807775554157
43,0.16838449218468665,0.167924202224084,0.16712695660411175,0.1662063767060637,0.1654091311092487,0.1649488411718033
44,0.1681888689514305,0.16778099606885194,0.16707453953592954,0.16625879378408775,0.16555233726448076,0.1651444643952176
45,0.1680155229763346,0.1676540980174558,0.16702809161788879,0.16630524170778754,0.1656792353158769,0.16531781036465443
46,0.1678619173688111,0.1675416509051633,0.16698693312591173,0.16634640020301855,0.16579168242816938,0.16547141596892395
47,0.16772580412176077,0.16744200909603169,0.16695046168986405,0.16638287164093724,0.16589132423730096,0.16560752921410327
48,0.1676051912358259,0.16735371433434532,0.16691814356669138,0.1664151897651857,0.16597961899898733,0.16572814209896228
49,0.16749831355269665,0.16727547444122162,0.16688950577730438,0.1664438275551913,0.166057858892111,0.16583501978147291
50,0.16740360693031975,0.1672061443814337,0.16686412921507116,0.16646920411778024,0.16612718895189893,0.1659297264034941
51,0.16731968534704317,0.16714470951900617,0.16684164249442657,0.16649169083862933,0.16618862381432642,0.16601364798656615
52,0.16724532062012742,0.16709027076047556,0.16682171652615907,0.16651161680701443,0.16624306257285704,0.16608801271336426
53,0.16717942442977535,0.16704203140124307,0.1668040596951071,0.16652927363813402,0.1662913019320895,0.16615390890364867
54,0.16712103239264914,0.1669992854632615,0.16678841359600133,0.16654491973727864,0.16633404787007106,0.16621230094073602
55,0.1670692899476594,0.1669614073646657,0.16677454924962976,0.16655878408367256,0.1663719259686669,0.1662640433857034
56,0.16702343984988705,0.16692784276354775,0.1667622637529882,0.16657106958032697,0.16640549056978482,0.16630989348346287
57,0.16698281108819285,0.16689810044575412,0.16675137730909498,0.16658195602422757,0.1664352328875784,0.16635052224514968
58,0.16694680906515638,0.16687174513571043,0.16674173059610647,0.1665916027372203,0.16646158819762208,0.16638652426818187
59,0.16691490689514182,0.16684839112639327,0.16673318243541152,0.1666001508979177,0.1664849422069392,0.16641842643819396
60,0.16688663769342368,0.16682769663444416,0.16672560772564388,0.16660772560768672,0.16650563669888832,0.16644669563991069
