t,point 0,point 1,point 2,point 3,point 4,point 5
0,1,0,0,0,0,0
1,0.6175,0.3825,0,0,0,0
2,0.5601250000000001,0.29356875000000004,0.14630625,0,0,0
3,0.4831205781250001,0.326681296875,0.134235984375,0.055962140625000004,0,0
4,0.4510504632812501,0.2965511383593751,0.1664965125,0.05973958511718751,0.026162300742187502,0
5,0.4171613182591798,0.29484659255273443,0.1612556786047852,0.08265293383271484,0.03185260115361328,0.012230875596972657
6,0.3954378960434469,0.27917822286478355,0.16858192063315214,0.08626185708249465,0.04809644665567822,0.022443656720444828
7,0.3746987199961148,0.2719437765623346,0.16506811867480672,0.09581875405035181,0.056126583879988125,0.036344046836404256
8,0.3585101751404923,0.26128317236333626,0.16542938576057356,0.0989797868347618,0.06711585301546232,0.04868162688537408
9,0.3435299162291137,0.2536608556888069,0.16261498975735855,0.103795521857048,0.07496115058122607,0.06143756588644714
10,0.330716173305995,0.24547182902252215,0.16111931287489328,0.10644220195806582,0.08326844800691989,0.0729820348316043
11,0.31897531708448107,0.23864298941193401,0.1587750137813089,0.10944464883100341,0.0901676249395224,0.0839944059517507
12,0.3085328558497462,0.23203182613936602,0.15695977369511993,0.1116372566353685,0.0968183773459671,0.0940199103344328
13,0.2989939172073719,0.2261972854859014,0.15499739021560394,0.11381573126852107,0.10267578978185038,0.10331988604075187
14,0.29037597484021105,0.2207560460804998,0.1533045874409072,0.11563235103930444,0.10813007924589874,0.11180096135317935
15,0.282510616006464,0.21585211191707981,0.1516642500144612,0.11734361266359893,0.11304150371535074,0.11958790568304592
16,0.27536116770522634,0.21134116429179506,0.1501970021542788,0.11885149270119291,0.11755673840130018,0.12669243474620734
17,0.2688375153643915,0.2072439197981437,0.1488282416229597,0.12024352966768789,0.12165643988842702,0.13319035365839088
18,0.26289369824314396,0.20349414055533493,0.14758818566412454,0.1214969201282586,0.12540762637724268,0.139119429031896
19,0.25747036937476053,0.20007843745928106,0.14644730856109323,0.12264543612506176,0.1288241357212475,0.14453431275855674
20,0.2525246226011285,0.19695829865704914,0.1454089779301751,0.12368814285675461,0.13194473637680146,0.149475221578092
21,0.24801195907836734,0.1941131101258459,0.1444586105685562,0.12464101715093173,0.1347901894956732,0.1539851135806265
22,0.2438952637147248,0.1915159413071524,0.14359224526865086,0.1255088185972075,0.1373875098870012,0.1581002212252641
23,0.24013902790493635,0.18914670423004937,0.1428008074537153,0.12630107913661803,0.13975683379590823,0.16185554747877368
24,0.2367119339588463,0.18698456129275748,0.1420788982558076,0.1270234596484737,0.1419190264763861,0.16528212036772985
25,0.23358490162395174,0.1850118838677624,0.14141990274839206,0.12768272515733514,0.14389173239777603,0.1684088542047837
26,0.23073173246096912,0.18321181198619918,0.1408186733643586,0.12828410921700956,0.14569182060405034,0.17126185236741423
27,0.22812836689819657,0.1815693892620882,0.14026999086488112,0.12883288032546786,0.14733425268009548,0.17386511996927184
28,0.2257529560396626,0.18007072945720537,0.13976936674697238,0.12933355520477371,0.14883291784241703,0.17624047470897
29,0.2235855163757352,0.17870329405796134,0.13931254389525288,0.12979040713615753,0.1502003563107753,0.17840788222411896
30,0.22160784633411343,0.17745556839344365,0.1388957222910384,0.1302072453992294,0.15144808373349544,0.18038553384868092
31,0.21980332333525,0.17631708665287538,0.1385153846193532,0.1305875926142686,0.15258656648128452,0.1821900462969696
32,0.2181567901697361,0.17527827648321204,0.13816834751258555,0.1309346351881342,0.15362537722795414,0.18383657341837928
33,0.21665441218571369,0.17433041617453962,0.13785169084117777,0.13125129499147659,0.15457323786717592,0.1853389479399178
34,0.2152835690862755,0.17346554055546703,0.13756275814717786,0.13154022947966676,0.15543811367561025,0.186709789055804
35,0.21403274412045598,0.17267638569262608,0.13729912076051537,0.13180386789416648,0.15622726864693076,0.18796061288530677
36,0.21289142980568426,0.17195632143550926,0.13705856511102546,0.13204442413247314,0.1569473329661923,0.18910192654911706
37,0.21185003817611064,0.17129929930540505,0.1368390699464071,0.13226391963440676,0.1576043551318973,0.1901433178057747
38,0.2108998209990252,0.17069979969811838,0.13663879173643906,0.13246419803761245,0.1582038547595786,0.19109353476922789
39,0.21003279582576845,0.17015278662363015,0.1364560478943829,0.13264694199036864,0.1587508678457503,0.19196055982010124
40,0.20924167916895914,0.16965366478752497,0.13628930337901196,0.13281368656915626,0.1592499896885486,0.1927516764068008
41,0.20851982517500023,0.1691982413299437,0.13613715740078236,0.13296583258371536,0.15970541314996414,0.19347353036059597
42,0.20786116986731135,0.1687826904137949,0.13599833188209196,0.13310465812321784,0.1601209640683095,0.19413218564527626
43,0.20726018016151387,0.1684035211911938,0.13587166059772116,0.13323132941951124,0.16050013329216894,0.1947331753378928
44,0.20671180740661793,0.1680575484198928,0.13575607944825285,0.13334691057580966,0.16084610606419086,0.1952815480852378
45,0.20621144495988647,0.16774186573807348,0.13565061748309412,0.13345237254488118,0.1611617887464231,0.19578191052764357
46,0.20575488949527926,0.1674538212312141,0.13555438876569428,0.1335486012645225,0.16144983325351908,0.1962384659897727
47,0.20533830568892755,0.16719099516458852,0.1354665849194734,0.1336364051120275,0.1617126593202802,0.19665504979470483
48,0.2049581940023579,0.1669511796505569,0.13538646834372664,0.1337165216885099,0.1619524748343895,0.19703516148046124
49,0.20461136128309138,0.16673236010417763,0.13531336601375205,0.1337896240189059,0.16217129438081324,0.19738199419926192
50,0.204294893941012,0.16653269831783818,0.13524666382914227,0.13385632620375712,0.16237095616717817,0.19769846154107443
51,0.20400613347216426,0.16635051702023684,0.13518580145388154,0.13391718857915613,0.16255313746479416,0.19798722200976926
52,0.20374265412602216,0.16618428578582797,0.13513026760985003,0.13397272242326688,0.16271936869921136,0.1982507013558238
53,0.20350224252769328,0.16603260817868257,0.13507959578145629,0.134023394251706,0.16287104630636157,0.1984911129541025
54,0.2032828790843847,0.16589421002147586,0.13503336029684207,0.13406962973634623,0.163009444463571,0.19871047639738232
55,0.20308272101964753,0.16576792869177218,0.13499117275189326,0.13411181728130994,0.16313572579327623,0.19891063446210303
